
열대야일수
지점/지역명 : 전국

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2015,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.9,0.0,0.0,0.0,0.0,4.2,10
2016,0.0,0.0,0.0,0.0,0.0,0.0,3.8,6.2,0.0,0.0,0.0,0.0,10.0,6
2017,0.0,0.0,0.0,0.0,0.0,0.1,5.8,4.2,0.0,0.0,0.0,0.0,10.1,5
2018,0.0,0.0,0.0,0.0,0.0,0.0,7.1,9.4,0.0,0.0,0.0,0.0,16.6,2
2019,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.3,0.5,0.0,0.0,0.0,10.2,4
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.1,0.1,0.0,0.0,0.0,7.4,8
2021,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.6,0.0,0.0,0.0,0.0,5.5,9
2022,0.0,0.0,0.0,0.0,0.0,1.2,3.8,7.9,0.3,0.0,0.0,0.0,13.2,3
2023,0.0,0.0,0.0,0.0,0.0,0.1,2.6,5.4,0.1,0.0,0.0,0.0,8.2,7
2024,0.0,0.0,0.0,0.0,0.0,0.1,8.8,11.3,4.3,0.0,0.0,0.0,24.5,1
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
평균,0.0,0.0,0.0,0.0,0.0,0.1,3.9,5.5,0.5,0.0,0.0,0.0


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
2015,제주,2015-07-22,2015-07-30,9
2016,제주,2016-07-18,2016-08-25,39
2017,서귀포,2017-07-19,2017-08-12,25
2018,여수,2018-07-18,2018-08-15,29
2019,여수,2019-07-26,2019-08-15,21
2020,고산,2020-07-29,2020-08-24,27
2021,제주,2021-07-18,2021-08-09,23
2022,제주,2022-07-26,2022-08-16,22
2023,제주,2023-07-22,2023-08-23,33
2024,제주,2024-07-15,2024-08-30,47
2025,,,,


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2015,고창·고창군·목포·서울·인천·정읍,2015-07-10,포항,2015-08-23
2016,포항,2016-07-01,제주·통영,2016-08-31
2017,강릉·경주시·영덕·영천·포항,2017-06-30,서귀포·제주,2017-09-05
2018,포항,2018-05-16,고산,2018-09-02
2019,강릉,2019-05-24,거제·서귀포,2019-09-10
2020,강릉,2020-06-08,북창원·양산시·창원시·포항,2020-09-02
2021,고산·서귀포·성산·제주,2021-07-05,성산,2021-10-03
2022,강릉,2022-06-17,포항,2022-10-03
2023,밀양·의령군·제주,2023-06-26,고산·서귀포·성산,2023-09-15
2024,강릉,2024-06-10,성산,2024-09-28
2025,,,,


